measure_start,measure_end,object,value,id,quarterlength,offset,type
1,,<music21.note.Note B->,note,N1,2.0,0.0,GeneralNote
1,,<music21.chord.Chord E-4 G-4>,note,N2,2.0,0.0,GeneralNote
1,,<music21.note.Rest dotted-whole>,note,N3,6.0,0.0,GeneralNote
1,,<music21.note.Rest quarter>,note,N4,1.0,2.0,GeneralNote
1,,<music21.chord.Chord E-4 G-4>,note,N5,2.0,2.0,GeneralNote
1,,<music21.note.Rest eighth>,note,N6,0.5,3.0,GeneralNote
1,,<music21.note.Note B->,note,N7,0.5,3.5,GeneralNote
1,,<music21.note.Note E->,note,N8,1.5,4.0,GeneralNote
1,,<music21.chord.Chord E-4 G-4>,note,N9,2.0,4.0,GeneralNote
1,,<music21.note.Note G->,note,N10,0.5,5.5,GeneralNote
1,2,<music21.spanner.Slur <music21.note.Note B-><music21.note.Note C->>,slur,N736,2.5,0.0,Slur
1,,<music21.dynamics.Dynamic p>,p,N778,,,DynamicPoint
1,,<music21.expressions.TextExpression 'Lento mode...'>,Lento moderato,N804,0.0,0.0,TextExpression
1,,<music21.expressions.TextExpression 'très soute...'>,très soutenu et expressif,N805,0.0,0.0,TextExpression
1,,<music21.tempo.MetronomeMark Quarter=52.5 (playback only)>,None,N810,0.0,0.0,TempoIndication
1,,<music21.tempo.MetronomeMark Quarter=52.5 (playback only)>,None None,N811,0.0,0.0,MetronomeMark
2,,<music21.note.Note C->,note,N11,2.0,6.0,GeneralNote
2,,<music21.chord.Chord E-4 A-4>,note,N12,2.0,6.0,GeneralNote
2,,<music21.note.Rest dotted-whole>,note,N13,6.0,6.0,GeneralNote
2,,<music21.note.Rest quarter>,note,N14,1.0,8.0,GeneralNote
2,,<music21.chord.Chord E-4 A-4 C-5>,note,N15,2.0,8.0,GeneralNote
2,,<music21.note.Rest eighth>,note,N16,0.5,9.0,GeneralNote
2,,<music21.note.Note E->,note,N17,0.5,9.5,GeneralNote
2,,<music21.note.Note A->,note,N18,1.5,10.0,GeneralNote
2,,<music21.chord.Chord E-4 A-4 C-5>,note,N19,2.0,10.0,GeneralNote
2,,<music21.note.Note C->,note,N20,0.5,11.5,GeneralNote
2,3,<music21.spanner.Slur <music21.note.Note E-><music21.note.Note D>>,slur,N737,2.5,0.0,Slur
3,,<music21.note.Note D>,note,N21,2.0,12.0,GeneralNote
3,,<music21.chord.Chord E-4 F4 A-4>,note,N22,2.0,12.0,GeneralNote
3,,<music21.note.Rest dotted-whole>,note,N23,6.0,12.0,GeneralNote
